Time,Position_White,Speed_White
177,[188.5 100. ],[20.  0.]
178,[189. 100.],[20.  0.]
179,[189.5 100. ],[20.  0.]
180,[190. 100.],[20.  0.]
181,[190.5 100. ],[20.  0.]
182,[191. 100.],[20.  0.]
183,[191.5 100. ],[20.  0.]
184,[192. 100.],[20.  0.]
185,[192.5 100. ],[20.  0.]
186,[193. 100.],[20.  0.]
187,[193.5 100. ],[20.  0.]
188,[194. 100.],[20.  0.]
189,[194.5 100. ],[20.  0.]
190,[195. 100.],[20.  0.]
191,[195.5 100. ],[20.  0.]
192,[196. 100.],[20.  0.]
193,[196.5 100. ],[20.  0.]
194,[197. 100.],[20.  0.]
195,[197.5 100. ],[20.  0.]
196,[198. 100.],[20.  0.]
197,[198.5 100. ],[20.  0.]
198,[199. 100.],[20.  0.]
199,[199.5 100. ],[20.  0.]
200,[200. 100.],[20.  0.]
201,[200.5 100. ],[20.  0.]
202,[201. 100.],[20.  0.]
203,[201.5 100. ],[20.  0.]
204,[202. 100.],[20.  0.]
205,[202.5 100. ],[20.  0.]
206,[203. 100.],[20.  0.]
207,[203.5 100. ],[20.  0.]
208,[204. 100.],[20.  0.]
209,[204.5 100. ],[20.  0.]
210,[205. 100.],[20.  0.]
211,[205.5 100. ],[20.  0.]
212,[206. 100.],[20.  0.]
213,[206.5 100. ],[20.  0.]
214,[207. 100.],[20.  0.]
215,[207.5 100. ],[20.  0.]
216,[208. 100.],[20.  0.]
217,[208.5 100. ],[20.  0.]
218,[209. 100.],[20.  0.]
